Professor_Name,Department,Quality,Difficulty,Would_take_again,Class_Name,Review_Date
Hemant Merchant,Business Administration department,1.0,2.8,N/A,346,"Apr 18th, 2004"
Alan Meichsner,Mathematics department,3.0,2.7,N/A,MATH155,"Feb 6th, 2014"
Alan Meichsner,Mathematics department,3.0,2.7,N/A,155,"May 26th, 2013"
Alan Meichsner,Mathematics department,3.0,2.7,N/A,MATH109,"May 28th, 2010"
Alan Meichsner,Mathematics department,3.0,2.7,N/A,MATH152,"Sep 19th, 2008"
Alan Meichsner,Mathematics department,3.0,2.7,N/A,MATH251,"Feb 10th, 2004"
Alvaro Higueras,Archaeology department,4.5,3.3,N/A,ARCH,"Sep 11th, 2013"
Alvaro Higueras,Archaeology department,4.5,3.3,N/A,ARCH100,"Jan 9th, 2013"
Alvaro Higueras,Archaeology department,4.5,3.3,N/A,ARCHARCH,"Apr 13th, 2011"
Charles Samuelson,Mathematics department,5.0,4,N/A,MATH154,"Jan 13th, 2012"
K. Laird,Philosophy department,2.5,2.9,N/A,PHIL203,"Feb 21st, 2009"
K. Laird,Philosophy department,2.5,2.9,N/A,PHIL331,"Sep 12th, 2008"
K. Laird,Philosophy department,2.5,2.9,N/A,PHIL343,"Mar 15th, 2008"
K. Laird,Philosophy department,2.5,2.9,N/A,PHIL2XX,"Aug 11th, 2007"
K. Laird,Philosophy department,2.5,2.9,N/A,PHIL110,"May 8th, 2006"
K. Laird,Philosophy department,2.5,2.9,N/A,KANT,"Apr 9th, 2006"
Arthur Aginam,Communication department,1.5,3.2,N/A,CMNS261,"May 10th, 2013"
Arthur Aginam,Communication department,1.5,3.2,N/A,CMNS346,"Sep 15th, 2010"
Arthur Aginam,Communication department,1.5,3.2,N/A,CMNS456,"Sep 14th, 2010"
Arthur Aginam,Communication department,1.5,3.2,N/A,HUM392,"Mar 30th, 2010"
Arthur Aginam,Communication department,1.5,3.2,N/A,CMNS130,"Jan 5th, 2009"
Arthur Aginam,Communication department,1.5,3.2,N/A,CMNSSECT,"Dec 12th, 2006"
Arthur Aginam,Communication department,1.5,3.2,N/A,CMNS262,"Dec 5th, 2006"
Arthur Aginam,Communication department,1.5,3.2,N/A,COMMUNICATIONS,"Aug 2nd, 2006"
Arthur Aginam,Communication department,1.5,3.2,N/A,CMNS444,"Sep 28th, 2005"
Susan Morton,Linguistics department,3.0,4.2,N/A,LING200,"Nov 2nd, 2009"
Susan Morton,Linguistics department,3.0,4.2,N/A,LING100,"Aug 8th, 2007"
Susan Morton,Linguistics department,3.0,4.2,N/A,LING362,"Apr 5th, 2007"
Susan Morton,Linguistics department,3.0,4.2,N/A,L200,"Apr 18th, 2005"
Lilian Zuccolo,Languages department,3.5,3.2,N/A,SPAN102,"Jun 9th, 2010"
Lilian Zuccolo,Languages department,3.5,3.2,N/A,SPAN103,"Apr 24th, 2009"
Lilian Zuccolo,Languages department,3.5,3.2,N/A,SPAN101,"Apr 18th, 2008"
Lilian Zuccolo,Languages department,3.5,3.2,N/A,SPAN201,"Nov 22nd, 2006"
Lilian Zuccolo,Languages department,3.5,3.2,N/A,103,"Mar 30th, 2004"
David Zimmerman,Philosophy department,5.0,2.7,N/A,PHIL120,"Aug 6th, 2012"
David Zimmerman,Philosophy department,5.0,2.7,N/A,PHIL120W,"May 2nd, 2012"
David Zimmerman,Philosophy department,5.0,2.7,N/A,PHIL241,"Nov 22nd, 2008"
David Zimmerman,Philosophy department,5.0,2.7,N/A,PHILLOTS,"Jan 11th, 2007"
David Zimmerman,Philosophy department,5.0,2.7,N/A,PHIL451,"Feb 9th, 2006"
David Zimmerman,Philosophy department,5.0,2.7,N/A,PHIL120242,"Jun 28th, 2005"
Alain Duncan,Business department,5.0,3.2,N/A,BUS321,"Apr 25th, 2012"
Alain Duncan,Business department,5.0,3.2,N/A,BUS320,"Apr 20th, 2012"
Alain Duncan,Business department,5.0,3.2,N/A,BUS670,"Mar 2nd, 2008"
Alain Duncan,Business department,5.0,3.2,N/A,BUS320321,"Aug 4th, 2006"
Alain Duncan,Business department,5.0,3.2,N/A,321,"Apr 11th, 2006"
Bill Havens,Computer Science department,4.0,3.3,N/A,CMPT120,"Dec 4th, 2010"
Bill Havens,Computer Science department,4.0,3.3,N/A,CMPT125,"Dec 3rd, 2010"
Bill Havens,Computer Science department,4.0,3.3,N/A,CMPT827,"Mar 6th, 2006"
Bill Havens,Computer Science department,4.0,3.3,N/A,MASTERS,"Nov 22nd, 2005"
Bill Havens,Computer Science department,4.0,3.3,N/A,CMPT417,"Dec 14th, 2004"
Bill Havens,Computer Science department,4.0,3.3,N/A,CMPT201,"Sep 13th, 2004"
Bill Havens,Computer Science department,4.0,3.3,N/A,CMPT101,"Nov 13th, 2002"
Bill Barlethemy,Philosophy department,5.0,2.6,N/A,PHIL150,"Dec 7th, 2013"
Bill Barlethemy,Philosophy department,5.0,2.6,N/A,PHIL120,"Nov 15th, 2012"
Bill Barlethemy,Philosophy department,5.0,2.6,N/A,PHIL110,"Mar 26th, 2010"
Bill Barlethemy,Philosophy department,5.0,2.6,N/A,PHIL151,"Feb 21st, 2009"
Bill Barlethemy,Philosophy department,5.0,2.6,N/A,PHIL242,"Apr 8th, 2006"
Bill Barlethemy,Philosophy department,5.0,2.6,N/A,PHIL242PHIL150,"Feb 24th, 2006"
Bill Barlethemy,Philosophy department,5.0,2.6,N/A,PHIL150151,"Oct 14th, 2005"
Bill Barlethemy,Philosophy department,5.0,2.6,N/A,PHIL150PHIL24,"Jul 12th, 2005"
Pavol Hell,Computer Science department,1.0,3.5,N/A,307,"Aug 14th, 2015"
Pavol Hell,Computer Science department,1.0,3.5,N/A,CMPT307,"Feb 11th, 2015"
Pavol Hell,Computer Science department,1.0,3.5,N/A,CMP307,"May 9th, 2014"
Pavol Hell,Computer Science department,1.0,3.5,N/A,MACM101,"Jan 1st, 2014"
Pavol Hell,Computer Science department,1.0,3.5,N/A,MATH343,"Aug 27th, 2013"
Doug Wilson,Science department,5.0,2.3,N/A,BISC329,"Nov 13th, 2014"
Doug Wilson,Science department,5.0,2.3,N/A,BISC329307,"Feb 8th, 2006"
Doug Wilson,Science department,5.0,2.3,N/A,BISC307329,"Feb 11th, 2005"
Doug Wilson,Science department,5.0,2.3,N/A,329,"Feb 3rd, 2005"
E.O. Boyanowsky,Criminal Justice department,4.0,3.3,N/A,319,"Dec 2nd, 2014"
E.O. Boyanowsky,Criminal Justice department,4.0,3.3,N/A,CRIM103,"Apr 7th, 2013"
E.O. Boyanowsky,Criminal Justice department,4.0,3.3,N/A,CRIM301,"Apr 16th, 2011"
E.O. Boyanowsky,Criminal Justice department,4.0,3.3,N/A,CRIM313,"Jun 28th, 2009"
Marjorie Cohen,Political Science department,5.0,3.8,N/A,GSWS350,"Apr 27th, 2012"
Marjorie Cohen,Political Science department,5.0,3.8,N/A,POL825,"Jun 26th, 2011"
Marjorie Cohen,Political Science department,5.0,3.8,N/A,POL356,"Jun 20th, 2011"
Marjorie Cohen,Political Science department,5.0,3.8,N/A,CDN280,"Sep 1st, 2004"
Marjorie Cohen,Political Science department,5.0,3.8,N/A,POL301,"Feb 18th, 2003"
Mike Evans,Computer Science department,3.5,4.1,N/A,CMPT300,"Mar 9th, 2014"
Mike Evans,Computer Science department,3.5,4.1,N/A,CMPT225,"Dec 14th, 2013"
Mike Evans,Computer Science department,3.5,4.1,N/A,CMPT126,"Jan 11th, 2012"
Mike Evans,Computer Science department,3.5,4.1,N/A,CMPT125,"Dec 22nd, 2011"
Mike Evans,Computer Science department,3.5,4.1,N/A,CMPTD100,"Nov 24th, 2011"
Stella Atkins,Computer Science department,4.0,1.9,N/A,CMPT363,"Nov 11th, 2009"
Stella Atkins,Computer Science department,4.0,1.9,N/A,CMPT340,"Sep 15th, 2004"
Vivian Fang,Economics department,5.0,3.2,N/A,ECON291,"Mar 31st, 2011"
Vivian Fang,Economics department,5.0,3.2,N/A,ECON103,"Dec 20th, 2005"
Vivian Fang,Economics department,5.0,3.2,N/A,103,"Nov 27th, 2004"
Vivian Fang,Economics department,5.0,3.2,N/A,291,"Apr 23rd, 2004"
John Jones,Engineering department,4.5,2.1,N/A,ENSC100W,"Mar 9th, 2016"
John Jones,Engineering department,4.5,2.1,N/A,ENSC100,"Jan 2nd, 2016"
John Jones,Engineering department,4.5,2.1,N/A,100,"Jan 19th, 2015"
John Jones,Engineering department,4.5,2.1,N/A,MSE102,"Oct 30th, 2014"
John Jones,Engineering department,4.5,2.1,N/A,ENSC106,"Apr 12th, 2012"
John Jones,Engineering department,4.5,2.1,N/A,ENSC201,"Apr 8th, 2011"
Paul McFetridge,Linguistics department,5.0,2.1,N/A,LING110,"Apr 12th, 2014"
Paul McFetridge,Linguistics department,5.0,2.1,N/A,LING100,"Jan 4th, 2010"
B.D Roitberg,Science department,5.0,3.8,N/A,BIO100,"Apr 15th, 2012"
B.D Roitberg,Science department,5.0,3.8,N/A,BISCC100,"Jun 24th, 2011"
B.D Roitberg,Science department,5.0,3.8,N/A,BISC204,"May 12th, 2010"
B.D Roitberg,Science department,5.0,3.8,N/A,BIO101,"May 22nd, 2009"
B.D Roitberg,Science department,5.0,3.8,N/A,BISC435,"Nov 8th, 2007"
B.D Roitberg,Science department,5.0,3.8,N/A,BISC100,"Jan 12th, 2005"
B.D Roitberg,Science department,5.0,3.8,N/A,BISC407,"May 12th, 2004"
B.D Roitberg,Science department,5.0,3.8,N/A,BISC304,"Dec 29th, 2002"
Olga Volkoff,Business Administration department,4.0,4.1,N/A,BUS468,"Jan 14th, 2013"
Olga Volkoff,Business Administration department,4.0,4.1,N/A,BUS362,"Apr 26th, 2011"
Olga Volkoff,Business Administration department,4.0,4.1,N/A,BUS326,"Apr 16th, 2007"
Christopher Nowlin,Criminal Justice department,2.0,4.3,N/A,CRIM2316,"Nov 26th, 2010"
Christopher Nowlin,Criminal Justice department,2.0,4.3,N/A,CRIM1100,"Mar 27th, 2007"
Christopher Nowlin,Criminal Justice department,2.0,4.3,N/A,CRIM419,"Jan 31st, 2005"
Christopher Nowlin,Criminal Justice department,2.0,4.3,N/A,CRIM,"Nov 11th, 2004"
Ryan Stephenson,English department,2.0,3.4,N/A,ENG330,"Oct 9th, 2011"
Ryan Stephenson,English department,2.0,3.4,N/A,ENGL330,"Aug 1st, 2011"
Ryan Stephenson,English department,2.0,3.4,N/A,ABC313,"Nov 30th, 2010"
Ryan Stephenson,English department,2.0,3.4,N/A,ENG327,"Nov 26th, 2010"
Ryan Stephenson,English department,2.0,3.4,N/A,ENGL327,"Oct 28th, 2010"
Brian Booth,Computer Science department,2.0,5,N/A,CMPT300,"Dec 22nd, 2015"
Courtney Kang,Health Science department,1.0,5,N/A,HSCI330,"Nov 5th, 2010"
Kash Heed,Criminology department,3.5,1.6,N/A,CRIM131,"Nov 16th, 2012"
Kash Heed,Criminology department,3.5,1.6,N/A,CRIM251,"Apr 24th, 2012"
Brian Butcher,Humanities department,1.5,3.5,N/A,THO2189,"Jan 26th, 2014"
Brian Butcher,Humanities department,1.5,3.5,N/A,HUM330,"Jul 27th, 2011"
Brian Butcher,Humanities department,1.5,3.5,N/A,HUM101W,"May 5th, 2011"
Brian Butcher,Humanities department,1.5,3.5,N/A,HUM101,"Apr 17th, 2011"
Avelino Francisco,Business Administration department,1.0,3,N/A,BUS322,"Mar 3rd, 2011"
Robert Christie,Film department,3.0,3,N/A,FPA135,"Apr 9th, 2016"
Keshav Mukunda,Mathematics department,4.0,3,N/A,MATH1201,"Apr 17th, 2015"
Keshav Mukunda,Mathematics department,4.0,3,N/A,MATH155,"Nov 8th, 2014"
Keshav Mukunda,Mathematics department,4.0,3,N/A,MATH232,"Apr 21st, 2013"
Keshav Mukunda,Mathematics department,4.0,3,N/A,MATH152,"Apr 25th, 2012"
Keshav Mukunda,Mathematics department,4.0,3,N/A,MATH150,"Jul 15th, 2011"
Keshav Mukunda,Mathematics department,4.0,3,N/A,MATH100,"May 26th, 2011"
Keshav Mukunda,Mathematics department,4.0,3,N/A,MATH197,"Nov 27th, 2010"
Echo Yuan Liao,Business Administration department,5.0,3.2,N/A,BUS272,"Jan 10th, 2013"
Dirk Kirste,Earth Science department,3.0,3.3,N/A,EASC106,"May 11th, 2016"
Todd Green,Business Administration department,5.0,2.7,N/A,BUS449,"Jun 12th, 2012"
Todd Green,Business Administration department,5.0,2.7,N/A,BUS343,"May 17th, 2011"
Jacqueline Levitin,Women's Studies department,1.0,3.3,N/A,GSWS412,"Oct 29th, 2013"
Jacqueline Levitin,Women's Studies department,1.0,3.3,N/A,WS301,"Jun 10th, 2011"
Jacqueline Levitin,Women's Studies department,1.0,3.3,N/A,FPA335,"Oct 2nd, 2007"
Jacqueline Levitin,Women's Studies department,1.0,3.3,N/A,WS412,"Jun 21st, 2006"
Baran Fakhri,Sociology department,2.0,3,100%,SA-150,"Jul 11th, 2024"
Baran Fakhri,Sociology department,2.0,3,100%,SA366,"May 30th, 2024"
Evan Caldbick,Psychology department,5.0,3.5,91%,PSYC325,"Jul 27th, 2024"
Evan Caldbick,Psychology department,5.0,3.5,91%,PSYC280,"Apr 26th, 2024"
Evan Caldbick,Psychology department,5.0,3.5,91%,PSYC382,"Dec 7th, 2023"
Evan Caldbick,Psychology department,5.0,3.5,91%,PSYC381,"Nov 19th, 2023"
Zahra Ladha,Business Administration department,5.0,2.7,50%,BUS444,"Jun 6th, 2024"
Zahra Ladha,Business Administration department,5.0,2.7,50%,BUS448,"May 22nd, 2022"
Zahra Ladha,Business Administration department,5.0,2.7,50%,BUS442,"Jun 2nd, 2020"
Zahra Ladha,Business Administration department,5.0,2.7,50%,BUS217W,"Jul 27th, 2019"
Zahra Ladha,Business Administration department,5.0,2.7,50%,BUS217,"Jul 25th, 2019"
Zahra Ladha,Business Administration department,5.0,2.7,50%,BUS347,"May 29th, 2007"
Paul Li,Chemistry department,4.0,2.9,85%,CHEM121,"Jul 12th, 2024"
Paul Li,Chemistry department,4.0,2.9,85%,CHEM122,"May 10th, 2024"
Paul Li,Chemistry department,4.0,2.9,85%,210,"Jan 25th, 2024"
Lindsay Parker,Philosophy department,3.0,4,N/A,PHIL,"Jun 2nd, 2013"
Lindsay Parker,Philosophy department,3.0,4,N/A,EXPL120,"Aug 1st, 2012"
Lindsay Parker,Philosophy department,3.0,4,N/A,WL100,"May 7th, 2012"
Lindsay Parker,Philosophy department,3.0,4,N/A,EXPLEXPL,"Oct 23rd, 2011"
Johannes Koch,Geography department,3.5,3,N/A,EASC104,"Nov 15th, 2009"
Johannes Koch,Geography department,3.5,3,N/A,GEOGGEOG,"Nov 14th, 2007"
Mecedes Eng,English department,1.5,5,N/A,ENGL359,"Jan 6th, 2012"
Mark Drew,Computer Science department,3.0,3.2,50%,CMPT365,"May 30th, 2020"
Mark Drew,Computer Science department,3.0,3.2,50%,CMPT828,"Jul 27th, 2016"
Mark Drew,Computer Science department,3.0,3.2,50%,828,"Mar 17th, 2015"
Alexander Moens,Political Science department,3.0,3.3,80%,POL484,"Nov 5th, 2023"
Alexander Moens,Political Science department,3.0,3.3,80%,POL141,"Jan 12th, 2021"
Alexander Moens,Political Science department,3.0,3.3,80%,POL449,"Feb 26th, 2018"
Alexander Moens,Political Science department,3.0,3.3,80%,D100,"Sep 22nd, 2015"
Alexander Moens,Political Science department,3.0,3.3,80%,POL349,"Apr 23rd, 2015"
Alexander Moens,Political Science department,3.0,3.3,80%,POL232,"Nov 6th, 2014"
Alexander Moens,Political Science department,3.0,3.3,80%,POL455,"Oct 19th, 2014"
Alexander Moens,Political Science department,3.0,3.3,80%,POLI210,"Jan 11th, 2012"
Alexander Moens,Political Science department,3.0,3.3,80%,POL210,"Dec 15th, 2011"
Alexander Moens,Political Science department,3.0,3.3,80%,POL430,"Oct 4th, 2011"
Scott Uzelman,Communication department,1.0,2.5,0%,CMNS110,"Feb 3rd, 2021"
Scott Uzelman,Communication department,1.0,2.5,0%,SOCI02H,"Aug 7th, 2013"
Scott Uzelman,Communication department,1.0,2.5,0%,1002H,"Apr 2nd, 2013"
Scott Uzelman,Communication department,1.0,2.5,0%,CMNS221,"Feb 5th, 2008"
Michael Hayden,Physics department,5.0,3.7,100%,PHYS421,"Jan 11th, 2022"
Michael Hayden,Physics department,5.0,3.7,100%,PHYS126,"May 8th, 2021"
Michael Hayden,Physics department,5.0,3.7,100%,PHYS321,"Apr 21st, 2017"
Michael Hayden,Physics department,5.0,3.7,100%,PHYS130,"May 21st, 2015"
Michael Hayden,Physics department,5.0,3.7,100%,PHYS192,"Dec 14th, 2013"
rawia inaim,English department,1.0,3,100%,ENGL112W,"Sep 1st, 2023"
rawia inaim,English department,1.0,3,100%,JASPER523,"Jan 30th, 2022"
Derek Yee,Business Administration department,4.0,3.2,100%,BUS413,"Jan 14th, 2022"
Derek Yee,Business Administration department,4.0,3.2,100%,BUS315,"Mar 7th, 2019"
Derek Yee,Business Administration department,4.0,3.2,100%,BUS809,"Mar 6th, 2015"
Derek Yee,Business Administration department,4.0,3.2,100%,809,"Mar 1st, 2015"
Derek Yee,Business Administration department,4.0,3.2,100%,BUS417,"Aug 23rd, 2010"
Derek Yee,Business Administration department,4.0,3.2,100%,BUSS417,"Aug 17th, 2010"
Zhaosong LU,Mathematics department,3.5,3.8,N/A,MATH151,"Nov 26th, 2015"
Zhaosong LU,Mathematics department,3.5,3.8,N/A,150,"Jul 30th, 2015"
Zhaosong LU,Mathematics department,3.5,3.8,N/A,MACM316,"Oct 24th, 2011"
Anthony Chan,Business Administration department,1.0,2.9,38%,BUS478,"Sep 7th, 2021"
Anthony Chan,Business Administration department,1.0,2.9,38%,BUS371,"Nov 16th, 2020"
Anthony Chan,Business Administration department,1.0,2.9,38%,BUS468,"Dec 18th, 2017"
Anthony Chan,Business Administration department,1.0,2.9,38%,BUS343,"Oct 3rd, 2014"
Anthony Chan,Business Administration department,1.0,2.9,38%,BUS434,"Aug 21st, 2014"
Anthony Chan,Business Administration department,1.0,2.9,38%,CMPT470,"Jan 6th, 2011"
Matthias Danninger,Physics department,1.0,4.4,50%,PHYS211,"Apr 25th, 2024"
Matthias Danninger,Physics department,1.0,4.4,50%,PHYS120,"Feb 2nd, 2023"
Zhenman Fang,Engineering department,3.0,3.3,86%,ENSC254,"Jul 31st, 2024"
Zhenman Fang,Engineering department,3.0,3.3,86%,ENSC251,"May 8th, 2024"
Zhenman Fang,Engineering department,3.0,3.3,86%,ENSC462,"Jan 1st, 2022"
Jeff Sonier,Physics department,1.0,3.7,17%,PHY120,"Jul 11th, 2024"
Jeff Sonier,Physics department,1.0,3.7,17%,PHYS385,"Jan 23rd, 2024"
Jeff Sonier,Physics department,1.0,3.7,17%,120,"Dec 1st, 2023"
Jeff Sonier,Physics department,1.0,3.7,17%,PHYS120,"May 10th, 2021"
Jeff Sonier,Physics department,1.0,3.7,17%,PHYS861,"Apr 12th, 2015"
Rastin Mehri,Humanities department,5.0,2.9,95%,PERS100,"Apr 19th, 2024"
Rastin Mehri,Humanities department,5.0,2.9,95%,ARAB148,"Jan 8th, 2024"
Rastin Mehri,Humanities department,5.0,2.9,95%,ARAB100,"Dec 5th, 2023"
Rastin Mehri,Humanities department,5.0,2.9,95%,PERS190,"Jul 23rd, 2021"
Rastin Mehri,Humanities department,5.0,2.9,95%,PERS118,"Apr 30th, 2021"
Rastin Mehri,Humanities department,5.0,2.9,95%,ARAB1OO,"Sep 28th, 2020"
Rastin Mehri,Humanities department,5.0,2.9,95%,PERS104,"Jul 31st, 2020"
Rastin Mehri,Humanities department,5.0,2.9,95%,ARAB101,"Apr 28th, 2020"
Alison Dean,English department,5.0,3.6,92%,ENGL111W,"May 27th, 2024"
Alison Dean,English department,5.0,3.6,92%,ENG111W,"Jan 25th, 2024"
Natasha Patterson,Gender Studies department,2.0,3.3,60%,GSWS101,"Sep 5th, 2023"
Natasha Patterson,Gender Studies department,2.0,3.3,60%,GSWS398W,"Aug 2nd, 2023"
Natasha Patterson,Gender Studies department,2.0,3.3,60%,GSWS411,"Jul 7th, 2023"
Natasha Patterson,Gender Studies department,2.0,3.3,60%,GSWS320,"Apr 12th, 2023"
Natasha Patterson,Gender Studies department,2.0,3.3,60%,GSWS205,"Dec 31st, 2022"
Natasha Patterson,Gender Studies department,2.0,3.3,60%,GSWS318,"Nov 2nd, 2022"
Ash Parameswaran,Engineering department,4.0,2.7,80%,ENSC220,"Jul 27th, 2024"
Ash Parameswaran,Engineering department,4.0,2.7,80%,ENSC854,"Nov 22nd, 2023"
Ash Parameswaran,Engineering department,4.0,2.7,80%,ENSC324,"Jan 1st, 2022"
Ash Parameswaran,Engineering department,4.0,2.7,80%,ENSC225,"Aug 13th, 2019"
Ash Parameswaran,Engineering department,4.0,2.7,80%,ENSC120,"Nov 2nd, 2016"
Evan McCuish,Criminology department,5.0,2.9,94%,CRIM103,"Jul 23rd, 2024"
Evan McCuish,Criminology department,5.0,2.9,94%,CRIM210,"May 3rd, 2024"
Evan McCuish,Criminology department,5.0,2.9,94%,103,"Apr 17th, 2024"
Evan McCuish,Criminology department,5.0,2.9,94%,CRIM414,"Dec 8th, 2023"
Onur Bakiner,International Studies department,5.0,3.4,N/A,IS101,"Jun 30th, 2013"
Onur Bakiner,International Studies department,5.0,3.4,N/A,IS419,"Jan 7th, 2013"
Onur Bakiner,International Studies department,5.0,3.4,N/A,IS100,"Jan 9th, 2012"
Onur Bakiner,International Studies department,5.0,3.4,N/A,ISD100,"Oct 23rd, 2011"
Onur Bakiner,International Studies department,5.0,3.4,N/A,ISIS,"Sep 26th, 2011"
Sarah Sadeghi,Physics department,3.5,2.6,N/A,PHYS101,"May 8th, 2012"
Sarah Sadeghi,Physics department,3.5,2.6,N/A,PHYS102,"May 4th, 2012"
Jackie Steele,Political Science department,4.5,4,N/A,POL321,"Apr 9th, 2013"
Jackie Steele,Political Science department,4.5,4,N/A,POLIS321,"Dec 6th, 2012"
Jackie Steele,Political Science department,4.5,4,N/A,POL32X,"Apr 17th, 2012"
Daryl Funk,Mathematics department,5.0,1,N/A,MATH150,"May 7th, 2012"
Graeme Coetzer Graeme Coetzer,Business Administration department,1.0,4,N/A,BUS272,"Aug 18th, 2012"
John A. Jackson,Psychology department,5.0,1,N/A,PSYCD100,"Jun 19th, 2012"
Richard Hutchings,Sociology department,4.5,3,N/A,SA388,"Mar 10th, 2014"
Richard Hutchings,Sociology department,4.5,3,N/A,GEO102,"Dec 9th, 2012"
Richard Hutchings,Sociology department,4.5,3,N/A,SA371,"Dec 6th, 2012"
Kouri Keenan,Criminology department,5.0,2.5,N/A,CRIM330,"Sep 10th, 2014"
Kouri Keenan,Criminology department,5.0,2.5,N/A,CRIM356,"Apr 5th, 2013"
Jennifer Alexander,Linguistics department,4.5,2.5,N/A,LING221,"Apr 19th, 2013"
Chiaka Drakes,Mathematics department,5.0,3.6,N/A,MATH100,"Sep 18th, 2015"
Chiaka Drakes,Mathematics department,5.0,3.6,N/A,MATH310,"Dec 16th, 2014"
Chiaka Drakes,Mathematics department,5.0,3.6,N/A,MATH152,"Oct 8th, 2014"
Chiaka Drakes,Mathematics department,5.0,3.6,N/A,MATHS310,"Aug 20th, 2014"
Chiaka Drakes,Mathematics department,5.0,3.6,N/A,MATH157,"Jul 28th, 2014"
Chiaka Drakes,Mathematics department,5.0,3.6,N/A,MATH158,"May 31st, 2014"
Chiaka Drakes,Mathematics department,5.0,3.6,N/A,MATH150,"Apr 11th, 2014"
Qian (Michelle) Zhou,Statistics department,2.5,3.3,N/A,STAT445,"Jul 9th, 2015"
Qian (Michelle) Zhou,Statistics department,2.5,3.3,N/A,STAT330,"Dec 14th, 2014"
Qian (Michelle) Zhou,Statistics department,2.5,3.3,N/A,STAT101,"May 6th, 2014"
Qian (Michelle) Zhou,Statistics department,2.5,3.3,N/A,STAT201,"Jan 5th, 2014"
Qian (Michelle) Zhou,Statistics department,2.5,3.3,N/A,STATS201,"Dec 31st, 2013"
Qian (Michelle) Zhou,Statistics department,2.5,3.3,N/A,STATS101,"Dec 9th, 2013"
Joe Qranfal,Mathematics department,1.0,4.2,N/A,MATH310,"Dec 23rd, 2015"
Joe Qranfal,Mathematics department,1.0,4.2,N/A,MATH152,"Nov 23rd, 2015"
Joe Qranfal,Mathematics department,1.0,4.2,N/A,310,"Aug 14th, 2015"
Joe Qranfal,Mathematics department,1.0,4.2,N/A,MATH232,"Oct 23rd, 2013"
Joe Qranfal,Mathematics department,1.0,4.2,N/A,MATH157,"Jul 24th, 2013"
David Gaertner,English department,5.0,3,N/A,ENG359,"Apr 7th, 2013"
Patricia Mooney,Physics department,1.0,4,N/A,PHYS231,"Apr 10th, 2013"
Blaize Reich,Business Administration department,4.5,2.3,N/A,BUS361,"Apr 28th, 2014"
Blaize Reich,Business Administration department,4.5,2.3,N/A,MIS551,"Jul 29th, 2010"
Blaize Reich,Business Administration department,4.5,2.3,N/A,BUS468,"Aug 17th, 2008"
Stephen Corber,Health Science department,5.0,2,N/A,HSCI211,"Dec 3rd, 2010"
